user_id,first_name,last_name,persona_category
1,Laetitia,Raynaud,Manuels
2,Honoré,Lambert,Bien-être
3,Émile,Boulay,Sport
4,Joséphine,Martinez,Bien-être
5,Xavier,Chauveau,Manuels
6,Alex,Guillet,Extrêmes
7,Marie,Marion,Bien-être
8,Charlotte,Marques,Sport
9,Andrée,Dumont,Extrêmes
10,Jacques,Colas,Extrêmes
11,Paulette,Techer,Manuels
12,Thierry,Labbé,Sport
13,Raymond,Chartier,Extrêmes
14,Catherine,Ledoux,Bien-être
15,Françoise,Meyer,Bien-être
16,Julie,Garcia,Sport
17,Laurent,Raynaud,Bien-être
18,Céline,Robin,Extrêmes
19,Julien,Couturier,Bien-être
20,Martin,Regnier,Culture
21,Auguste,Baudry,Manuels
22,Marguerite,Brunel,Extrêmes
23,Lorraine,Rodrigues,Sport
24,Anouk,De Sousa,Sport
25,René,Dumont,Bien-être
26,Françoise,Michel,Manuels
27,Michelle,Teixeira,Manuels
28,Grégoire,Reynaud,Sport
29,Sabine,Faivre,Extrêmes
30,Georges,Rolland,Extrêmes
31,Nathalie,Wagner,Bien-être
32,Élisabeth,Daniel,Extrêmes
33,Bernadette,Boucher,Extrêmes
34,Aimée,Leblanc,Extrêmes
35,Michelle,Valentin,Manuels
36,Édouard,Rodrigues,Manuels
37,Agnès,Leconte,Sport
38,Nicolas,Morin,Manuels
39,Henriette,Pages,Extrêmes
40,Thibault,Hebert,Bien-être
41,Émile,Mace,Manuels
42,Thibault,Petit,Sport
43,Charles,Lemonnier,Sport
44,Gérard,Ferrand,Bien-être
45,Susanne,Foucher,Bien-être
46,Hélène,Carpentier,Manuels
47,Thibaut,Le Gall,Extrêmes
48,Charlotte,Leblanc,Sport
49,Jeannine,Bruneau,Sport
50,Sophie,Guillon,Culture
51,Guillaume,Chauvet,Extrêmes
52,Aimé,Fischer,Sport
53,Manon,Vincent,Sport
54,Pénélope,Marion,Bien-être
55,Marianne,Fournier,Sport
56,Antoinette,Pasquier,Sport
57,Gabrielle,Camus,Culture
58,Thibault,Carlier,Sport
59,Margot,Devaux,Culture
60,Alfred,Joseph,Culture
61,Caroline,Lopes,Bien-être
62,Célina,Blot,Culture
63,Catherine,Laporte,Culture
64,Claire,Mercier,Sport
65,Noémi,Jourdan,Bien-être
66,Auguste,Mace,Extrêmes
67,Emmanuel,Bonnet,Sport
68,Lucy,Peltier,Sport
69,Nicole,Weiss,Bien-être
70,Adrien,Boulanger,Extrêmes
71,Diane,Bègue,Manuels
72,Anastasie,Clément,Manuels
